locale,key,value
le,We have adequate resources to succeed.,"This team has adequate resources to succeed.
"
ex,We have adequate resources to succeed.,Hay los recursos adecuados para tener éxito.
og,We have adequate resources to succeed.,We have adequate resources to succeed. 
ft,We have adequate resources to succeed.,Our family has the basic requirements to be successful.
fx,We have adequate resources to succeed.,Nous avons les ressources nécessaires pour réussir.
tx,We have adequate resources to succeed.,The team is able to manage available resources effectively.
po,We have adequate resources to succeed.,Nós temos os recursos adequados para ter êxito.
en,There is a sense of interdependence among team members. We can count on each other.,There is a sense of interdependence among team members. We can count on each other.
en,There is a sense of interdependence among team members. We can count on each other.,There is a sense of interdependence among team members. We can count on each other.
ar,There is a sense of interdependence among team members. We can count on each other.,هناك حس من الاعتماد المتبادل بين أعضاء الفريق؛ ويمكننا الاعتماد على بعضنا البعض.
da,There is a sense of interdependence among team members. We can count on each other.,Medlemmerne af vores team udgør et sikkerhedsnet. Man kan regne med de andres støtte.
de,There is a sense of interdependence among team members. We can count on each other.,"Wir verstehen, dass wir im Team aufeinander angewiesen sind. Wir können uns aufeinander verlassen."
el,There is a sense of interdependence among team members. We can count on each other.,Υπάρχει αίσθημα αλληλεξάρτησης μεταξύ των μελών της ομάδας. Μπορούμε να «υπολογίζουμε» ο ένας στον άλλο. 
fi,There is a sense of interdependence among team members. We can count on each other.,Tunnemme olevamme riippuvaisia toisistamme ja voimme luottaa toistemme tukeen.		
fr,There is a sense of interdependence among team members. We can count on each other.,Il y a un sens d’interdépendance parmi les membres de l’équipe. Nous pouvons compter les uns sur les autres.
he,There is a sense of interdependence among team members. We can count on each other.,קיימת תחושת של שתוף פעולה הדדי בין חברי הצוות. אנחנו יכולים לסמוך אחד על השני.
it,There is a sense of interdependence among team members. We can count on each other.,C’è un forte senso di interdipendenza tra i membri del team. Possiamo contare uno sull’altro.
ja,There is a sense of interdependence among team members. We can count on each other.,私たちのチームでは、お互いを頼りにすることができます。
nl,There is a sense of interdependence among team members. We can count on each other.,We voelen ons als teamleden verbonden met elkaar. We kunnen op elkaar rekenen.
no,There is a sense of interdependence among team members. We can count on each other.,Det er en følelse av gjensidig avhengighet i teamet. Vi kan regne med hverandre.
pl,There is a sense of interdependence among team members. We can count on each other.,"Jako członkowie zespołu mamy poczucie, że zależymy od siebie nawzajem i możemy na sobie polegać."
pt,There is a sense of interdependence among team members. We can count on each other.,Existe interdependência entre os membros do time. Nós podemos contar uns com os outros. 
ru,There is a sense of interdependence among team members. We can count on each other.,Члены нашей команды взаимозависимы. Мы можем положиться друг на друга.
es,There is a sense of interdependence among team members. We can count on each other.,Hay un sentido de interdependencia entre los miembros del equipo. Contamos unos con otros.
sv,There is a sense of interdependence among team members. We can count on each other.,Vi har en känsla av ömsesidigt beroende i teamet. Vi kan räkna med varandra.
tr,There is a sense of interdependence among team members. We can count on each other.,Ekip üyeleri arasında dayanışma hissi var. Birbirimize güvenebiliriz.
zh,There is a sense of interdependence among team members. We can count on each other.,"团队成员间能够彼此独立, 也能互相依靠和支持."
le,There is a sense of interdependence among team members. We can count on each other.,"There is interdependence among team members on this team; they can count on each other.
"
ex,There is a sense of interdependence among team members. We can count on each other.,Hay un sentido de interdependencia entre los miembros del equipo. Podemos contar unos con otros.
og,There is a sense of interdependence among team members. We can count on each other.,There is a sense of interdependence across the organization.  We can count on each other.
ft,There is a sense of interdependence among team members. We can count on each other.,There is a sense of interdependence among family members. We can count on each other.
fx,There is a sense of interdependence among team members. We can count on each other.,Il y a un sens d’interdépendance parmi les membres de l’équipe. Nous pouvons compter les uns sur les autres.
tx,There is a sense of interdependence among team members. We can count on each other.,There is interdependence among team members on the team; they can count on each other.
po,There is a sense of interdependence among team members. We can count on each other.,Existe um sentido de interdependência entre os membros da equipa. Nós podemos contar uns com os outros.
en,Our team is highly resilient and not easily defeated in our goals.,Our team is highly resilient and not easily defeated in our goals.
en,Our team is highly resilient and not easily defeated in our goals.,Our team is highly resilient and not easily defeated in our goals.
ar,Our team is highly resilient and not easily defeated in our goals.,فريقنا على درجة عالية من الصبر والتحمّل ولا يُغلَب على أهدافه بسهولة.
da,Our team is highly resilient and not easily defeated in our goals.,"Vores team har en stærk modstandskraft, og vi giver ikke så let op."
de,Our team is highly resilient and not easily defeated in our goals.,Unser Team ist sehr belastbar und nicht leicht von seinen Zielen abzubringen.
el,Our team is highly resilient and not easily defeated in our goals.,Η ομάδα είναι ευέλικτη και σκληροτράχηλη και δεν χάνουμε εύκολα σε στόχους και επιδιώξεις.
fi,Our team is highly resilient and not easily defeated in our goals.,Tiimimme on varsin sinnikäs emmekä helposti anna periksi tavoitteissamme.
fr,Our team is highly resilient and not easily defeated in our goals., Notre équipe est très forte et elle ne se laisse pas facilement détourner de ses objectifs.
he,Our team is highly resilient and not easily defeated in our goals.,הצוות שלנו עמיד ביותר ולא מובס בקלות בהגשמת מטרותיו.
it,Our team is highly resilient and not easily defeated in our goals.,Il nostro team è forte e non si fa fermare facilmente quando c’è da raggiungere un obiettivo.
ja,Our team is highly resilient and not easily defeated in our goals.,私たちのチームは立ち直りが早く、目標を簡単にあきらめることはありません。
nl,Our team is highly resilient and not easily defeated in our goals.,Ons team is erg veerkrachtig en niet snel uit het veld geslagen in het streven naar onze doelstellingen.
no,Our team is highly resilient and not easily defeated in our goals.,Teamet er veldig utholdende og gir ikke lett opp i kampen for å nå sine mål.
pl,Our team is highly resilient and not easily defeated in our goals.,Nasz zespół jest bardzo wytrwały i łatwo nie rezygnuje z realizacji swych celów.
pt,Our team is highly resilient and not easily defeated in our goals.,Nosso time é muito resiliente e não se deixa derrotar facilmente frente aos nossos objetivos.
ru,Our team is highly resilient and not easily defeated in our goals.,Наша команда никогда не унывает и нас нелегко сбить с пути к поставленной цели.
es,Our team is highly resilient and not easily defeated in our goals.,Nuestro equipo es altamente resiliente y no se deja derrotar fácilmente ante nuestros objetivos.
sv,Our team is highly resilient and not easily defeated in our goals.,Vårt team är mycket uthålligt och det ska mycket till för att vi ska ge upp våra mål.
tr,Our team is highly resilient and not easily defeated in our goals.,Ekibimiz son derece dirençlidir ve hedeflerinde kolaylıkla yenilgiye uğramaz.
zh,Our team is highly resilient and not easily defeated in our goals.,我们团队有很强的韧性，在实现目标时不会轻言放弃. 
le,Our team is highly resilient and not easily defeated in our goals.,"This team is highly resilient and not easily defeated in their goals.
"
ex,Our team is highly resilient and not easily defeated in our goals.,Nuestro equipo es altamente resiliente y no se deja derrotar fácilmente ante nuestros objetivos.
og,Our team is highly resilient and not easily defeated in our goals.,"Our organization is highly resilient and not easily defeated in our goals.

"
ft,Our team is highly resilient and not easily defeated in our goals.,Our family is highly resilient and not easily defeated in our goals.
fx,Our team is highly resilient and not easily defeated in our goals.,Notre équipe est très forte et elle ne se laisse pas facilement détourner de ses objectifs.
tx,Our team is highly resilient and not easily defeated in our goals.,The team is highly resilient and not easily defeated in their goals.
po,Our team is highly resilient and not easily defeated in our goals.,A nossa equipa é muito resiliente e não desiste facilmente relativamente ao atingimento dos objetivos.
en,We are empathetic with each other.,We are empathetic with each other.
en,We are empathetic with each other.,We are empathetic with each other.
ar,We are empathetic with each other.,نحن متعاطفون ومتفهمون لبعضنا.
da,We are empathetic with each other.,Vi har en god evne i teamet til at sætte os i den andens sted.
de,We are empathetic with each other.,Wir haben Verständnis für einander.
el,We are empathetic with each other.,Νοιαζόματε και αλληλο-διαισθανόμαστε ο ένας τον άλλο. 
fi,We are empathetic with each other.,Olemme myötätuntoisia toisiamme kohtaan.
fr,We are empathetic with each other.,Nous sommes empathiques les uns avec les autres.
he,We are empathetic with each other.,יש לנו אמפטיה זה כלפי זה.
it,We are empathetic with each other.,Siamo comprensivi l’uno con l’altro.
ja,We are empathetic with each other.,私たちは互いに共感しあっています。
nl,We are empathetic with each other.,We kunnen ons goed in elkaar inleven.
no,We are empathetic with each other.,Vi er empatiske med hverandre.
pl,We are empathetic with each other.,Traktujemy się nawzajem ze zrozumieniem.
pt,We are empathetic with each other.,Somos empáticos uns com os outros.
ru,We are empathetic with each other.,Мы чутко относимся друг к другу.
es,We are empathetic with each other.,Somos empáticos unos con otros.
sv,We are empathetic with each other.,Vi är empatiska gentemot varandra.
tr,We are empathetic with each other.,Birbirimize karşı empati sahibiyiz.
zh,We are empathetic with each other.,我们理解和尊重彼此的感受. 
le,We are empathetic with each other.,"Team members are empathetic with each other.
"
ex,We are empathetic with each other.,Somos empáticos unos con otros.
og,We are empathetic with each other.,In our organization we are empathetic with each other.
ft,We are empathetic with each other.,We are empathetic with each other.
fx,We are empathetic with each other.,Nous sommes empathiques les uns avec les autres.
tx,We are empathetic with each other.,Team members are empathetic with each other.
po,We are empathetic with each other.,Somos empáticos uns com os outros.
en,We seem to be frequently frustrated with each other.,We seem to be frequently frustrated with each other.
en,We are not frequently frustrated with each other.,We are not frequently frustrated with each other.
ar,We seem to be frequently frustrated with each other.,يبدو أننا نشعر بالإحباط من بعضنا بشكل متكرر. 
da,We seem to be frequently frustrated with each other.,Vi bliver ofte frustrerede over andre i teamet.
de,We seem to be frequently frustrated with each other.,Wir scheinen oft voneinander frustriert zu sein. 
el,We seem to be frequently frustrated with each other.,Εκνευριζόμαστε συχνά ο ένας με τον άλλο.
fi,We seem to be frequently frustrated with each other.,"Vaikuttaa siltä, että turhaudumme usein toisiimme."
fr,We seem to be frequently frustrated with each other.,Nous semblons être souvent frustrés les uns envers les autres.
he,We seem to be frequently frustrated with each other.,"לעתים קרובות, אנחנו מוצאים את עצמנו מתוסכלים אחד מהשני."
it,We seem to be frequently frustrated with each other.,Sembriamo provare spesso frustrazione l’uno con l’altro.
ja,We seem to be frequently frustrated with each other.,私たちは、お互いに対してイライラすることが頻繁にあります。
nl,We seem to be frequently frustrated with each other.,We ergeren ons regelmatig aan elkaar.
no,We seem to be frequently frustrated with each other.,Vi blir ofte frustrerte av hverandre.
pl,We seem to be frequently frustrated with each other.,W naszych wzajemnych relacjach często pojawia się frustracja.
pt,We seem to be frequently frustrated with each other.,Parece que estamos frequentemente frustrados uns com os outros.
ru,We seem to be frequently frustrated with each other.,"Похоже, мы часто вызываем друг у друга раздражение."
es,We seem to be frequently frustrated with each other.,Parecemos estar frecuentemente frustrados unos con otros.
sv,We seem to be frequently frustrated with each other.,Det verkar som om vi ofta är frustrerade på varandra.
tr,We seem to be frequently frustrated with each other.,Birbirimize karşı sıkça hüsrana uğramış görünüyoruz.
zh,We seem to be frequently frustrated with each other.,我们似乎经常对彼此感到失望.
le,We seem to be frequently frustrated with each other.,"Team members seem to be frequently frustrated with each other.
"
ex,We seem to be frequently frustrated with each other.,Parecemos estar frecuentemente frustrados unos con otros.
og,We seem to be frequently frustrated with each other.,We seem to be frequently frustrated with each other in our organization.
ft,We seem to be frequently frustrated with each other.,We are frequently frustrated with each other.
fx,We seem to be frequently frustrated with each other.,Nous semblons être souvent frustrés les uns envers les autres.
tx,We seem to be frequently frustrated with each other.,Team members seem to be frequently frustrated with each other.
po,We seem to be frequently frustrated with each other.,Parece que estamos frequentemente frustrados uns com os outros.
ar,We are not frequently frustrated with each other.,نحن لا نشعر بالإحباط من بعضنا بشكل متكرر.
da,We are not frequently frustrated with each other.,Vi bliver sjældent frustrerede over andre i teamet.
de,We are not frequently frustrated with each other.,Wir sind nicht oft voneinander frustriert.
el,We are not frequently frustrated with each other.,ΔΕΝ εκνευριζόμαστε συχνά ο ένας με τον άλλο.
fi,We are not frequently frustrated with each other.,Emme useinkaan turhaudu toisiimme.
fr,We are not frequently frustrated with each other.,Nous ne sommes pas souvent frustrés les uns envers les autres.
he,We are not frequently frustrated with each other.,"איננו מוצאים את עצמנו מתוסכלים בגלל שאר חברי הצוות לעתים קרובות.
"
it,We are not frequently frustrated with each other.,Noi proviamo raramente frustrazione l’uno con l’altro.
ja,We are not frequently frustrated with each other.,私たちは、お互いに対してイライラすることはあまりありません。
nl,We are not frequently frustrated with each other.,We ergeren ons niet vaak aan elkaar.
no,We are not frequently frustrated with each other.,Vi blir sjeldent frustrerte av hverandre.
pl,We are not frequently frustrated with each other.,W naszych wzajemnych relacjach rzadko pojawia się frustracja.
pt,We are not frequently frustrated with each other.,Não estamos frequentemente frustrados uns com os outros.
ru,We are not frequently frustrated with each other.,Мы редко вызываем друг у друга раздражение.
es,We are not frequently frustrated with each other.,No estamos frecuentemente frustrados unos con otros.
sv,We are not frequently frustrated with each other.,Vi blir sällan frustrerade på varandra.
tr,We are not frequently frustrated with each other.,Birbirimizi sıkça hüsrana uğratmayız.
zh,We are not frequently frustrated with each other.,我们不会经常对彼此感到失望.
le,We are not frequently frustrated with each other.,"Team members are rarely frustrated with each other.
"
ex,We are not frequently frustrated with each other.,No estamos frecuentemente frustrados unos con otros.
og,We are not frequently frustrated with each other.,We are not frequently frustrated with each other in our organization. 
ft,We are not frequently frustrated with each other.,We are not frequently frustrated with each other.
fx,We are not frequently frustrated with each other.,Nous ne sommes pas souvent frustrés les uns envers les autres.
tx,We are not frequently frustrated with each other.,Team members are rarely frustrated with each other.
po,We are not frequently frustrated with each other.,Nós não nos sentimos frequentemente frustrados uns com os outros.
en,We communicate clearly and efficiently.,We communicate clearly and efficiently.
en,We communicate clearly and efficiently.,We communicate clearly and efficiently.
ar,We communicate clearly and efficiently.,نحن نتواصل بوضوح وكفاءة.
da,We communicate clearly and efficiently.,Vi har en klar og effektiv kommunikation i teamet.
de,We communicate clearly and efficiently.,Wir kommunizieren klar und effizient.
el,We communicate clearly and efficiently.,Επικοινωνούμε ξεκάθαρα και αποτελεσματικά. 
fi,We communicate clearly and efficiently.,Viestintämme on selkeää ja tehokasta.
fr,We communicate clearly and efficiently.,Nous communiquons clairement et efficacement.
he,We communicate clearly and efficiently.,אנחנו מתקשרים בבהירות וביעילות. 
it,We communicate clearly and efficiently.,Noi comunichiamo in maniera chiara ed efficiente.
ja,We communicate clearly and efficiently.,私たちのチームでは、コミュニケーションは明瞭かつ効率的に行われます。
nl,We communicate clearly and efficiently.,Wij communiceren duidelijk en efficiënt.
no,We communicate clearly and efficiently.,Vi kommuniserer tydelig og effektivt.
pl,We communicate clearly and efficiently.,Komunikujemy się jasno i skutecznie.
pt,We communicate clearly and efficiently.,Nós nos comunicamos de forma clara e eficiente.
ru,We communicate clearly and efficiently.,Мы умеем строить общение четко и эффективно.
es,We communicate clearly and efficiently.,Nos comunicamos clara y eficientemente.
sv,We communicate clearly and efficiently.,Vi kommunicerar tydligt och effektivt.
tr,We communicate clearly and efficiently.,Aramızda açık ve etkin bir iletişime sahibiz.
zh,We communicate clearly and efficiently.,我们的沟通清晰而高效. 
le,We communicate clearly and efficiently.,"This team communicates clearly and efficiently.
"
ex,We communicate clearly and efficiently.,Nos comunicamos con claridad y eficiencia.
og,We communicate clearly and efficiently.,We communicate clearly and efficiently in our organization.
fx,We communicate clearly and efficiently.,Nous communiquons clairement et efficacement.
tx,We communicate clearly and efficiently.,The team communicates clearly and efficiently.
po,We communicate clearly and efficiently.,Nós comunicamos de forma clara e eficiente.
en,We trust each other enough to reveal our vulnerabilities at the group level.,We trust each other enough to reveal our vulnerabilities at the group level.
en,We trust each other enough to reveal our vulnerabilities at the group level.,We trust each other enough to reveal our vulnerabilities at the group level.
ar,We trust each other enough to reveal our vulnerabilities at the group level.,نحن نثق في بعضنا بما يكفي للكشف عن نقاط ضعفنا أمام المجموعة.
da,We trust each other enough to reveal our vulnerabilities at the group level.,"Vi føler os så sikre på hinanden, at vi tør indrømme egne svagheder i det fælles forum."
de,We trust each other enough to reveal our vulnerabilities at the group level.,"Wir vertrauen uns gegenseitig so, dass wir uns im Team auch von unserer verletzlichen Seite zeigen."
el,We trust each other enough to reveal our vulnerabilities at the group level.,Εμπιστευόμαστε ο ένας τον άλλο αρκετά ώστε να συζητάμε ανοιχτά τις αδυναμίες μας όταν είμαστε όλοι μαζί.
fi,We trust each other enough to reveal our vulnerabilities at the group level.,"Luotamme toisiimme siinä määrin, että uskallamme paljastaa heikkoutemme ryhmätasolla."
fr,We trust each other enough to reveal our vulnerabilities at the group level.,Nous nous faisons suffisamment confiance pour pouvoir montrer notre vulnérabilité au groupe.
he,We trust each other enough to reveal our vulnerabilities at the group level.,יש בינינו רמת אמון מספקת המאפשרת לנו להיחשף בפני הקבוצה.
it,We trust each other enough to reveal our vulnerabilities at the group level.,Noi proviamo sufficiente fiducia tra noi da poter far emergere i nostri punti deboli nel gruppo.
ja,We trust each other enough to reveal our vulnerabilities at the group level.,私たちは、チームの一員として自分の弱いところも他の人に出せるくらい　お互いに信頼し合っています。
nl,We trust each other enough to reveal our vulnerabilities at the group level.,We hebben zoveel vertrouwen in elkaar dat we ons in de groep kwetsbaar durven opstellen.
no,We trust each other enough to reveal our vulnerabilities at the group level.,Vi stoler såpass mye på hverandre i teamet at vi er villige til å vise våre svakheter.
pl,We trust each other enough to reveal our vulnerabilities at the group level.,"Ufamy sobie nawzajem na tyle, by ujawniać własne słabości na forum grupy."
pt,We trust each other enough to reveal our vulnerabilities at the group level.,Nós confiamos uns nos outros a ponto de revelar nossas vulnerabilidades dentro do time.
ru,We trust each other enough to reveal our vulnerabilities at the group level.,"Мы доверяем друг другу в достаточной степени, чтобы показывать наши слабые места всем в группе."
es,We trust each other enough to reveal our vulnerabilities at the group level.,Tenemos suficiente confianza para revelar nuestras vulnerabilidades a nivel de equipo.
sv,We trust each other enough to reveal our vulnerabilities at the group level.,Vi litar tillräckligt på varandra för att våga visa vår sårbarhet inom gruppen.
tr,We trust each other enough to reveal our vulnerabilities at the group level.,"Grup düzeyinde, birbirimize zayıf yanlarımızı ortaya koyabilecek kadar güveniyoruz."
zh,We trust each other enough to reveal our vulnerabilities at the group level.,"我们对彼此有足够的信任, 能够在团队中表现自己脆弱的一面. "
le,We trust each other enough to reveal our vulnerabilities at the group level.,"On this team, team members trust each other enough to reveal vulnerabilities at the group level.
"
ex,We trust each other enough to reveal our vulnerabilities at the group level.,Confiamos unos en otros lo suficiente como para revelar nuestras vulnerabilidades en el grupo.
og,We trust each other enough to reveal our vulnerabilities at the group level.,Our organization has enough trust that our vulnerabilities can be revealed at a group level.
ft,We trust each other enough to reveal our vulnerabilities at the group level.,We trust each other enough to reveal our vulnerabilities within our family.
fx,We trust each other enough to reveal our vulnerabilities at the group level.,Nous nous faisons suffisamment confiance pour pouvoir montrer notre vulnérabilité au groupe.
tx,We trust each other enough to reveal our vulnerabilities at the group level.,Team members trust each other enough to reveal vulnerabilities at the group level.
po,We trust each other enough to reveal our vulnerabilities at the group level.,Nós confiamos uns nos outros ao ponto de revelarmos as vulnerabilidades que temos enquanto equipa.
en,We bring optimism to our work together.,We bring optimism to our work together.
en,We bring optimism to our work together.,We bring optimism to our work together.
ar,We bring optimism to our work together.,نجلب التفاؤل لعملنا الجماعي.
da,We bring optimism to our work together.,Vi går til det fælles arbejde med optimisme.
de,We bring optimism to our work together.,Wir bringen Optimismus in unsere Zusammenarbeit ein.
el,We bring optimism to our work together.,Πνέει ένας αέρας αισιοδοξίας όταν δουλεύουμε μαζί. 
fi,We bring optimism to our work together.,Tuomme optimismia yhteistyöhömme.
fr,We bring optimism to our work together.,Il y a de l’optimisme lorsque nous travaillons ensemble.
he,We bring optimism to our work together.,אנחנו בעלי גישה אופטימית בעבודתנו המשותפת.
it,We bring optimism to our work together.,Noi portiamo ottimismo nel nostro lavorare insieme.
ja,We bring optimism to our work together.,私たちのチームは、楽観的な気持ちをもって仕事をします。
nl,We bring optimism to our work together.,Wij brengen optimisme in ons gezamenlijke werk.
no,We bring optimism to our work together.,Vi har en optimistisk innstilling til det arbeidet vi gjør sammen.
pl,We bring optimism to our work together.,Wnosimy optymizm do wspólnej pracy.
pt,We bring optimism to our work together.,Nós trazemos otimismo para o nosso trabalho em conjunto.
ru,We bring optimism to our work together.,Мы привносим оптимизм в совместную работу.
es,We bring optimism to our work together.,Aportamos optimismo a nuestro trabajo en equipo.
sv,We bring optimism to our work together.,Vi bidrar med optimism till vårt gemensamma arbete.
tr,We bring optimism to our work together.,Birlikte çalışırken iyimserlikle yaklaşıyoruz.
zh,We bring optimism to our work together.,我们将乐观精神带入共同工作中.
le,We bring optimism to our work together.,"A spirit of optimism lives on this team.
"
ex,We bring optimism to our work together.,Aportamos optimismo a nuestro trabajo en común.
og,We bring optimism to our work together.,Optimism is a strength in this organization.
ft,We bring optimism to our work together.,We bring optimism to our life together.
fx,We bring optimism to our work together.,Nous faisons preuve d’optimisme lorsque nous travaillons ensemble.
tx,We bring optimism to our work together.,A spirit of optimism lives on the team.
po,We bring optimism to our work together.,Nós trabalhamos em conjunto com otimismo.
en,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.
en,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.
ar,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,فريقنا لديه توازن قياديّ مناسب بين التحرّك لتحقيق النتائج وبين الحفاظ على علاقات جيدة بين أعضاءه.
da,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,"Vi har en god balance i teamet, hvor vi på samme tid kan være resultatorienterede og tage hensyn til hinanden."
de,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Unser Team sorgt für ein angemessenes Gleichgewicht zwischen der Ergebnisorientierung und der Pflege guter Beziehungen der Teammitglieder untereinander.
el,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Η ομάδα μας έχει πετύχει την κατάλληλη ισορροπία μεταξύ του να κυνηγά αποτελέσματα και να διατηρεί τις καλές σχέσεις μεταξύ των μελών της.
fi,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Tiimissämme on sopiva tasapaino tuloshakuisuuden ja hyvien ihmissuhteiden ylläpitämisen välillä.
fr,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Notre équipe a un bon équilibre entre la motivation pour atteindre nos résultats et le maintien des bonnes relations entre les membres de l’équipe.
he,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,לצוות שלנו יש איזון ראוי בין השאיפה לתוצאות והשמירה על יחסים טובים בין חברי הצוות.
it,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Nel nostro team c’è un buon bilanciamento tra la ricerca dei risultati e il mantenimento di buone relazioni tra i membri del team.
ja,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,私たちのチームは、結果に向かって前に進む力とメンバー間の関係性をよりよく保つことのバランスがとれています。
nl,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Ons team houdt op leidersniveau goed de balans tussen streven naar resultaat en goede onderlinge verhoudingen.
no,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Vårt team har en god balanse mellom å oppnå resultater og ta vare på gode relasjoner i teamet.
pl,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Umiemy zachować właściwą równowagę między dążeniem do osiągania wyników i utrzymaniem dobrych stosunków wewnątrz zespołu.
pt,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Na liderança de nosso time existe um equilíbrio adequado entre a busca de resultados e o cultivo de um bom relacionamento entre os membros.
ru,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,В нашей команде выработан приемлемый баланс между стремлением к результату и сохранением хороших взаимоотношений между членами команды. 
es,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Nuestro equipo tiene un buen equilibrio entre el esforzarse por los resultados y el mantener buenas relaciones entre los miembros.
sv,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,I vårt team finns en bra balans mellan att vara resultatinriktad och att upprätthålla goda relationer till varandra.
tr,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,"Ekibimizde, sonuç odaklılık ve ekip içi olumlu ilişki sürdürme davranışları arasında uygun bir yönetim dengesi bulunmaktadır."
zh,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,我们团队具有在追求结果和保持彼此良好关系间取得适当平衡的领导力.
le,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,"This team has an appropriate balance between driving for results and maintaining good relationships among team members.
"
ex,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Nuestro equipo mantiene un equilibrio apropiado entre la consecución de resultados y el mantenimiento de buenas relaciones entre sus miembros.
og,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Our organization has an appropriate balance between driving for results and maintaining good relationships.
ft,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Our family has an appropriate balance of striving for achievement and maintaining good relationships between family members.
fx,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Notre équipe a un bon équilibre entre la motivation pour atteindre nos résultats et le maintien des bonnes relations entre les membres de l’équipe.
tx,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,The team maintains an appropriate balance between driving for results and maintaining good relationships.
po,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Na liderança da nossa equipa existe um equilíbrio adequado entre a procura de resultados e a manutenção de um bom relacionamento entre os seus membros.
en,Our team seeks sufficient input in decision making.,Our team seeks sufficient input in decision making.
en,Our team seeks sufficient input in decision making.,Our team seeks sufficient input in decision making.
ar,Our team seeks sufficient input in decision making.,يسعى فريقنا للحصول على معلومات كافية لاتخاذ القرار.
da,Our team seeks sufficient input in decision making.,"I vores team sikrer vi os, at vi har den viden, der er nødvendig, for at vi kan træffe beslutninger."
de,Our team seeks sufficient input in decision making.,Unser Team holt sich ausreichend Informationen für die Entscheidungsfindung ein.
el,Our team seeks sufficient input in decision making.,Η ομάδα μας ψάχνει και αναζητά αρκετά δεδομένα και πληροφορίες πριν πάρει απαφάσεις. 
fi,Our team seeks sufficient input in decision making.,Tiimimme päätöksenteossa kysytään riittävästi eri mielipiteitä.
fr,Our team seeks sufficient input in decision making.,Notre équipe sait collecter suffisamment d’éléments avant de prendre une décision.
he,Our team seeks sufficient input in decision making.,הצוות שלנו מגייס ומאתר מידע מספק לתהליך קבלת החלטות.
it,Our team seeks sufficient input in decision making.,Il nostro team ricerca un numero adeguato di input per prendere una decisione.
ja,Our team seeks sufficient input in decision making.,私たちのチームでは、意思決定に際して十分な情報や意見を募ります。
nl,Our team seeks sufficient input in decision making.,"Alvorens een besluit te nemen, verzamelt ons team eerst voldoende input."
no,Our team seeks sufficient input in decision making.,Vårt team skaffer seg tilstrekkelig informasjon når beslutninger skal tas.
pl,Our team seeks sufficient input in decision making.,Nasz zespół zabiega o dane niezbędne do podjęcia decyzji.
pt,Our team seeks sufficient input in decision making.,Nosso time procura ter informações suficientes para tomar decisões.
ru,Our team seeks sufficient input in decision making.,В процессе принятия решений наша команда стремится к получению достаточной информации. 
es,Our team seeks sufficient input in decision making.,Nuestro equipo busca suficientes opiniones y perspectivas al tomar decisiones.
sv,Our team seeks sufficient input in decision making.,Vårt team tar fram tillräckliga underlag för beslutsfattande.
tr,Our team seeks sufficient input in decision making.,Ekibimizde yeterli düzeyde veri araştırılarak karar verilir.
zh,Our team seeks sufficient input in decision making.,我们团队在决策过程中充分寻求建议. 
le,Our team seeks sufficient input in decision making.,"This team seeks sufficient input in decision making.
"
ex,Our team seeks sufficient input in decision making.,Nuestro equipo busca información suficiente cuando toma decisiones.
og,Our team seeks sufficient input in decision making.,Our organization seeks sufficient input in decision making.
ft,Our team seeks sufficient input in decision making.,Our family seeks basic input from each other when making decisions. 
fx,Our team seeks sufficient input in decision making.,Notre équipe recueille suffisamment d’information avant de prendre une décision.
tx,Our team seeks sufficient input in decision making.,The team seeks sufficient input in decision making.
po,Our team seeks sufficient input in decision making.,A nossa equipa procura obter informações suficientes para proceder à tomada de decisões.
en,"In spite of limited resources, we find ways to accomplish our objectives.","In spite of limited resources, we find ways to accomplish our objectives."
en,"In spite of limited resources, we find ways to accomplish our objectives.","In spite of limited resources, we find ways to accomplish our objectives."
